title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
Editorial Board,,[],[],[],March,https://www.sciencedirect.com//science/article/pii/S0304405X20300222,Journal of Financial Economics,2020,135,3
Empirical analysis of corporate tax reforms: What is the null and where did it come from?,"Absent theoretical guidance, empiricists have been forced to rely upon numerical comparative statics from constant tax rate models in formulating testable implications of tradeoff theory in the context of natural experiments. We fill the theoretical void by solving in closed-form a dynamic tradeoff theoretic model in which corporate taxes follow a Markov process with exogenous rate changes. We simulate ideal difference-in-differences estimations, finding that constant tax rate models offer poor guidance regarding testable implications. While constant rate models predict large symmetric responses to rate changes, our model with stochastic tax rates predicts small, asymmetric, and often statistically insignificant responses. Even with very long regimes (one decade), under plausible parameterizations, the true underlying theory—that taxes matter—is incorrectly rejected in about half the simulated natural experiments. Moreover, tax response coefficients are actually smaller in simulated economies with larger tax-induced welfare losses.","['Christopher A. Hennessy', 'Akitada Kasahara', 'Ilya A. Strebulaev']","['Capital structure', 'Corporate taxation', 'Difference-in-differences estimation', 'Natural experiments', 'Tradeoff model']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301977,Journal of Financial Economics,2020,135,3
Leveraged buyouts and bond credit spreads,"Recent decades have witnessed several waves of buyout activity. We find leveraged buyouts (LBOs) to be a significant concern for bondholders by showing that a) intra-industry credit spreads increase upon an LBO announcement, b) yields on bonds without event risk covenants are, on average, 21 basis points higher than those on same-firm bonds with such covenants, and c) structural models calibrated to historical LBO events imply an impact of 18–21 basis points on 10-year credit spreads. The impact is strongest in expansion periods and for bonds with maturities of 10–20 years.","['Yael Eisenthal-Berkovitz', 'Peter Feldhütter', 'Vikrant Vig']","['Credit spreads', 'LBO risk', 'Structural models', 'Leveraged buyouts']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301801,Journal of Financial Economics,2020,135,3
Do fire sales create externalities?,"We develop three novel measures of the incentives of equity mutual funds to internalize the price impact of their trading. We show that mutual funds with stronger incentives to internalize their price impact accommodate inflows and outflows by adjusting their cash buffers instead of trading in portfolio securities. As a result, stocks held by these funds have lower volatility, and flows out of these funds have smaller spillover effects on other funds holding the same securities. Our results provide evidence of meaningful fire sale externalities in the equity mutual fund industry.","['Sergey Chernenko', 'Adi Sunderam']","['Fire sales', 'Liquidity management', 'Mutual funds']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301928,Journal of Financial Economics,2020,135,3
Betting against correlation: Testing theories of the low-risk effect,"We test whether the low-risk effect is driven by leverage constraints and, thus, risk should be measured using beta versus behavioral effects and, thus, risk should be measured by idiosyncratic risk. Beta depends on volatility and correlation, with only volatility related to idiosyncratic risk. We introduce a new betting against correlation (BAC) factor that is particularly suited to differentiate between leverage constraints and behavioral explanations. BAC produces strong performance in the US and internationally, supporting leverage constraint theories. Similarly, we construct the new factor SMAX to isolate lottery demand, which also produces positive returns. Consistent with both leverage and lottery theories contributing to the low-risk effect, we find that BAC is related to margin debt while idiosyncratic risk factors are related to sentiment.","['Cliff Asness', 'Andrea Frazzini', 'Niels Joachim Gormsen', 'Lasse Heje Pedersen']","['Asset pricing', 'Leverage constraints', 'Lottery demand', 'Margin', 'Sentiment']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X1930176X,Journal of Financial Economics,2020,135,3
Are early stage investors biased against women?,"We study whether early stage investors have gender biases using a proprietary data set from AngelList that allows us to observe private interactions between investors and fundraising startups. We find that male investors express less interest in female entrepreneurs compared to observably similar male entrepreneurs. In contrast, female investors express more interest in female entrepreneurs. These findings do not appear to be driven by within-gender screening/monitoring advantages or gender differences in risk preferences. Moreover, the male-led startups that male investors express interest in do not outperform the female-led startups they express interest in—they underperform. Overall, the evidence is consistent with gender biases.","['Michael Ewens', 'Richard R. Townsend']","['Gender gap', 'Entrepreneurship', 'Angel investors', 'Bias']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301758,Journal of Financial Economics,2020,135,3
Employment effects of unconventional monetary policy: Evidence from QE,"This paper investigates employment effects of the Federal Reserve’s quantitative easing policies (QE) via a bank lending channel. We find that banks with higher mortgage-backed securities holdings refinanced relatively more mortgages after the first round of QE, which increased local consumption and employment in the nontradable goods sector. In contrast, banks increased lending to firms and home purchase mortgage origination after the third round of QE, which led to a sizable increase in overall employment. Our findings are supported by new confidential loan-level data that show firms with stronger ties to affected banks increased employment and capital investment more during QE3.","['Stephan Luck', 'Tom Zimmermann']","['Bank lending channel', 'Quantitative easing']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301771,Journal of Financial Economics,2020,135,3
Governance through shame and aspiration: Index creation and corporate behavior,"After decades of de-prioritizing shareholders’ economic interests and low corporate profitability, Japan introduced the JPX-Nikkei400 in 2014. The index highlighted the country’s “best-run” companies by annually selecting the 400 most profitable of its large and liquid firms. We find that managers competed for inclusion in the index by significantly increasing return on equity (ROE), and they did so at least in part due to their reputational or status concerns. The ROE increase was predominantly driven by improvements in margins, which were in turn partially driven by cutting research and development (R&D) intensity. Our findings suggest that indexes can affect managerial behavior through reputational or status incentives.","['Akash Chattopadhyay', 'Matthew D. Shaffer', 'Charles C.Y. Wang']","['JPX-Nikkei 400 index', 'Corporate governance', 'Index inclusion', 'Reputation incentives', 'Status incentives', 'Return on equity', 'Capital efficiency', 'Social norms']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301783,Journal of Financial Economics,2020,135,3
"Left-tail momentum: Underreaction to bad news, costly arbitrage and equity returns","This paper documents a significantly negative cross-sectional relation between left-tail risk and future returns on individual stocks trading in the US and international countries. We provide a behavioral explanation to this anomaly based on the idea that investors underestimate the persistence in left-tail risk and overprice stocks with large recent losses. Thus, low returns in the left-tail of the distribution persist into the future causing left-tail return momentum. We find that the left-tail risk anomaly is stronger for stocks that are more likely to be held by retail investors, that receive less investor attention, and that are costlier to arbitrage.","['Yigit Atilgan', 'Turan G. Bali', 'K. Ozgur Demirtas', 'A. Doruk Gunaydin']","['Left-tail risk', 'Momentum', 'Equity returns', 'Retail investors', 'Costly arbitrage', 'Investor inattention']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X19301795,Journal of Financial Economics,2020,135,3
Pricing structured products with economic covariates,We introduce a top-down no-arbitrage model for pricing structured products. Losses are described by Cox processes whose intensities depend on economic variables. The model provides economic insight into the impact of structured products on financial institutions’ risk exposure and systemic risk. We estimate the model using CDO data and find that spreads decrease with higher interest rates and increase with volatility and leverage. Volatility is the primary determinant of variation in tranche spreads. Leverage and interest rates are more closely associated with rare credit events. Model-implied risk premiums and the probabilities of tranche losses increase substantially during the financial crisis.,"['Yong Seok Choi', 'Hitesh Doshi', 'Kris Jacobs', 'Stuart M. Turnbull']","['Structured product', 'Collateralized debt obligation', 'Tranche pricing', 'Economic determinants', 'Risk premiums']",[],March,https://www.sciencedirect.com//science/article/pii/S0304405X1930193X,Journal of Financial Economics,2020,135,3
